"Path","Cycle_Start","Overpass","Cycle"
1,2020-01-13,18286,13
2,2020-01-13,18277,4
3,2020-01-13,18284,11
4,2020-01-13,18275,2
5,2020-01-13,18282,9
6,2020-01-13,18289,16
7,2020-01-13,18280,7
8,2020-01-13,18287,14
9,2020-01-13,18278,5
10,2020-01-13,18285,12
11,2020-01-13,18276,3
12,2020-01-13,18283,10
13,2020-01-13,18274,1
14,2020-01-13,18281,8
15,2020-01-13,18288,15
16,2020-01-13,18279,6
17,2020-01-13,18286,13
18,2020-01-13,18277,4
19,2020-01-13,18284,11
20,2020-01-13,18275,2
21,2020-01-13,18282,9
22,2020-01-13,18289,16
23,2020-01-13,18280,7
24,2020-01-13,18287,14
25,2020-01-13,18278,5
26,2020-01-13,18285,12
27,2020-01-13,18276,3
28,2020-01-13,18283,10
29,2020-01-13,18274,1
30,2020-01-13,18281,8
31,2020-01-13,18288,15
32,2020-01-13,18279,6
33,2020-01-13,18286,13
34,2020-01-13,18277,4
35,2020-01-13,18284,11
36,2020-01-13,18275,2
37,2020-01-13,18282,9
38,2020-01-13,18289,16
39,2020-01-13,18280,7
40,2020-01-13,18287,14
41,2020-01-13,18278,5
42,2020-01-13,18285,12
43,2020-01-13,18276,3
44,2020-01-13,18283,10
45,2020-01-13,18274,1
46,2020-01-13,18281,8
47,2020-01-13,18288,15
48,2020-01-13,18279,6
49,2020-01-13,18286,13
50,2020-01-13,18277,4
51,2020-01-13,18284,11
52,2020-01-13,18275,2
53,2020-01-13,18282,9
54,2020-01-13,18289,16
55,2020-01-13,18280,7
56,2020-01-13,18287,14
57,2020-01-13,18278,5
58,2020-01-13,18285,12
59,2020-01-13,18276,3
60,2020-01-13,18283,10
61,2020-01-13,18274,1
62,2020-01-13,18281,8
63,2020-01-13,18288,15
64,2020-01-13,18279,6
65,2020-01-13,18286,13
66,2020-01-13,18277,4
67,2020-01-13,18284,11
68,2020-01-13,18275,2
69,2020-01-13,18282,9
70,2020-01-13,18289,16
71,2020-01-13,18280,7
72,2020-01-13,18287,14
73,2020-01-13,18278,5
74,2020-01-13,18285,12
75,2020-01-13,18276,3
76,2020-01-13,18283,10
77,2020-01-13,18274,1
78,2020-01-13,18281,8
79,2020-01-13,18288,15
80,2020-01-13,18279,6
81,2020-01-13,18286,13
82,2020-01-13,18277,4
83,2020-01-13,18284,11
84,2020-01-13,18275,2
85,2020-01-13,18282,9
86,2020-01-13,18289,16
87,2020-01-13,18280,7
88,2020-01-13,18287,14
89,2020-01-13,18278,5
90,2020-01-13,18286,13
91,2020-01-13,18277,4
92,2020-01-13,18284,11
93,2020-01-13,18275,2
94,2020-01-13,18282,9
95,2020-01-13,18289,16
96,2020-01-13,18280,7
97,2020-01-13,18287,14
98,2020-01-13,18278,5
99,2020-01-13,18285,12
100,2020-01-13,18276,3
101,2020-01-13,18283,10
102,2020-01-13,18274,1
103,2020-01-13,18281,8
104,2020-01-13,18288,15
105,2020-01-13,18279,6
106,2020-01-13,18286,13
107,2020-01-13,18277,4
108,2020-01-13,18284,11
109,2020-01-13,18275,2
110,2020-01-13,18282,9
111,2020-01-13,18289,16
112,2020-01-13,18280,7
113,2020-01-13,18287,14
114,2020-01-13,18278,5
115,2020-01-13,18285,12
116,2020-01-13,18276,3
117,2020-01-13,18283,10
118,2020-01-13,18274,1
119,2020-01-13,18281,8
120,2020-01-13,18288,15
121,2020-01-13,18279,6
122,2020-01-13,18286,13
123,2020-01-13,18277,4
124,2020-01-13,18284,11
125,2020-01-13,18275,2
126,2020-01-13,18282,9
127,2020-01-13,18289,16
128,2020-01-13,18280,7
129,2020-01-13,18287,14
130,2020-01-13,18278,5
131,2020-01-13,18285,12
132,2020-01-13,18276,3
133,2020-01-13,18283,10
134,2020-01-13,18274,1
135,2020-01-13,18281,8
136,2020-01-13,18288,15
137,2020-01-13,18279,6
138,2020-01-13,18286,13
139,2020-01-13,18277,4
140,2020-01-13,18284,11
141,2020-01-13,18275,2
142,2020-01-13,18282,9
143,2020-01-13,18289,16
144,2020-01-13,18280,7
145,2020-01-13,18287,14
146,2020-01-13,18278,5
147,2020-01-13,18285,12
148,2020-01-13,18276,3
149,2020-01-13,18283,10
150,2020-01-13,18274,1
151,2020-01-13,18281,8
152,2020-01-13,18288,15
153,2020-01-13,18279,6
154,2020-01-13,18286,13
155,2020-01-13,18277,4
156,2020-01-13,18284,11
157,2020-01-13,18275,2
158,2020-01-13,18282,9
159,2020-01-13,18289,16
160,2020-01-13,18280,7
161,2020-01-13,18287,14
162,2020-01-13,18278,5
163,2020-01-13,18285,12
164,2020-01-13,18276,3
165,2020-01-13,18283,10
166,2020-01-13,18274,1
167,2020-01-13,18281,8
168,2020-01-13,18288,15
169,2020-01-13,18279,6
170,2020-01-13,18286,13
171,2020-01-13,18277,4
172,2020-01-13,18284,11
173,2020-01-13,18275,2
174,2020-01-13,18282,9
175,2020-01-13,18289,16
176,2020-01-13,18280,7
177,2020-01-13,18287,14
178,2020-01-13,18278,5
179,2020-01-13,18285,12
180,2020-01-13,18276,3
181,2020-01-13,18283,10
182,2020-01-13,18274,1
183,2020-01-13,18281,8
184,2020-01-13,18288,15
185,2020-01-13,18279,6
186,2020-01-13,18286,13
187,2020-01-13,18277,4
188,2020-01-13,18284,11
189,2020-01-13,18275,2
190,2020-01-13,18282,9
191,2020-01-13,18289,16
192,2020-01-13,18280,7
193,2020-01-13,18287,14
194,2020-01-13,18278,5
195,2020-01-13,18285,12
196,2020-01-13,18276,3
197,2020-01-13,18283,10
198,2020-01-13,18274,1
199,2020-01-13,18281,8
200,2020-01-13,18288,15
201,2020-01-13,18279,6
202,2020-01-13,18286,13
203,2020-01-13,18277,4
204,2020-01-13,18284,11
205,2020-01-13,18275,2
206,2020-01-13,18282,9
207,2020-01-13,18289,16
208,2020-01-13,18280,7
209,2020-01-13,18287,14
210,2020-01-13,18278,5
211,2020-01-13,18285,12
212,2020-01-13,18276,3
213,2020-01-13,18283,10
214,2020-01-13,18274,1
215,2020-01-13,18281,8
216,2020-01-13,18288,15
217,2020-01-13,18279,6
218,2020-01-13,18286,13
219,2020-01-13,18277,4
220,2020-01-13,18284,11
221,2020-01-13,18275,2
222,2020-01-13,18282,9
223,2020-01-13,18289,16
224,2020-01-13,18280,7
225,2020-01-13,18287,14
226,2020-01-13,18278,5
227,2020-01-13,18285,12
228,2020-01-13,18276,3
229,2020-01-13,18283,10
230,2020-01-13,18274,1
231,2020-01-13,18281,8
232,2020-01-13,18288,15
233,2020-01-13,18279,6
